author,h_index,total_citations,paper_count
Alexandr Rokovyi,2,43,2
Filip Mazowiecki,2,33,2
Sergey Khrapov,2,56,2
J?rg Endrullis,2,13,3
Cristian Riveros,2,36,2
St¨¦phane Le Roux,2,53,2
Jean-Luc Baril,2,22,2
Kim Guldstrand Larsen,2,20,2
Sanjit A. Seshia,2,79,3
Anirban Majumdar,2,15,2
Assia Mahboubi,2,62,2
Zolt¨¢n F¨¹l?p,2,14,2
Heiko Vogler,2,16,3
Kord Eickmeyer,2,31,2
William Pettersson,2,17,2
Romeo Jr. Jorda,2,96,2
Yi-Cheng Zhang,2,155,2
Cristian S. Calude,2,38,2
Christoph Haase,2,55,2
Johann A. Makowsky,2,29,3
Sam Buss,2,12,2
Normunds Gruzitis,2,21,2
U¨¦verton S. Souza,2,12,2
Johannes ?man Pohjola,2,15,2
Marcelo Finger,2,35,2
Jarkko Peltom?ki,2,28,2
Guntis Barzdins,2,21,2
Rajeev Gore,2,72,2
Jan Reineke,2,839,2
V¨¦ronique Bruy¨¨re,2,50,2
Francesco Ciraulo,2,10,3
Florian Steinberg,2,21,2
Helmut Schwichtenberg,2,5,2
Nicolas Behr,2,40,2
Vincent Danos,2,35,2
Lorijn van Rooijen,2,37,2
Saad Chakkor,2,77,2
Mostafa Baghouri,2,77,2
Abderrahmane Hajraoui,2,77,2
Sergi Elizalde,2,36,2
Mohammad H. Alomari,2,108,2
Dominik Wojtczak,2,54,2
Christian Johansen,2,22,3
R¨¦my Belmonte,2,17,2
Ripon Patgiri,2,24,2
Sabuzima Nayak,2,24,2
Martin L¨¹ck,2,17,2
Marco Maggesi,2,22,2
Matthias Niewerth,2,43,2
Victor Marsault,2,10,4
Aline Parreau,2,48,2
Christian Sattler,2,63,2
Apoloniusz Tyszka,2,20,5
Shaohua Kevin Zhou,2,42,2
Ismael G. Yero,2,10,2
Dimitrios Kouzapas,2,48,3
Yaping Mao,2,16,2
Eddie Cheng,2,16,2
Ambrus Kaposi,2,40,2
M. Hasnat Kabir,2,7,2
Stephan Wagner,2,12,3
Michael Mislove,2,13,2
Douglas F. Rall,2,13,2
